class,clock,entityId,eventId,eventTime,eventType,options,periodId,personId,playId,sequence,subType,success,timestamp
clock,PT6M14S,,248566f4-660a-1771-9787-501933e1c4ef,2023-08-24T17:36:14.1,main,,2,,,210,stop,,2023-08-24T17:36:14.1
clock,PT6M14S,,b68178c7-1b2e-1217-a2cd-e557e04d7eb5,2023-08-24T17:36:14.2,main,,2,,,211,start,,2023-08-24T17:36:14.2
clock,PT6M14S,,49f6f09f-8fa0-1000-9bf4-7d2d4f48a791,2023-08-24T17:36:14.3,main,,2,,,212,start,,2023-08-24T17:36:14.3
sport,PT6M15S,fe8d1885-3952-11ef-9130-af5c55c3771d,8e7b00c5-0708-11d9-8ecd-d737629f0fb6,2023-08-24T17:36:15.1,goal,{'goalKeeperId': '44b187b6-3953-11ef-9e2b-855e48b08f9c'},2,50158fe2-3953-11ef-a039-a9530db97767,8e7b00c5-0708-11d9-8ecd-d737629f0fb6,213,sevenMetrePenalty,True,2023-08-24T17:36:15.1
sport,PT6M24S,fea93a14-3952-11ef-a7e0-af5c55c3771d,08a94aeb-56b5-1b22-980c-0181a2966e57,2023-08-24T17:36:24.1,goalKeeperChange,{'emptyNet': True},2,,08a94aeb-56b5-1b22-980c-0181a2966e57,214,,,2023-08-24T17:36:24.1
clock,PT6M29S,,109e4c27-4b3c-1543-80ff-af704b50ade1,2023-08-24T17:36:29.1,main,,2,,,215,stop,,2023-08-24T17:36:29.1
clock,PT6M29S,,8ac5b645-e4ca-1882-ace3-55104d783a7e,2023-08-24T17:36:29.2,main,,2,,,216,start,,2023-08-24T17:36:29.2
sport,PT6M48S,fea93a14-3952-11ef-a7e0-af5c55c3771d,06dd5f78-c93b-1e6c-9a9b-be90c9e6d903,2023-08-24T17:36:48.1,goalKeeperChange,{'emptyNet': False},2,44b187b6-3953-11ef-9e2b-855e48b08f9c,06dd5f78-c93b-1e6c-9a9b-be90c9e6d903,217,,,2023-08-24T17:36:48.1
clock,PT6M56S,,8fb24be7-71c2-144a-accc-be8b66dea341,2023-08-24T17:36:56.1,main,,2,,,218,stop,,2023-08-24T17:36:56.1
sport,PT6M56S,fea93a14-3952-11ef-a7e0-af5c55c3771d,39de969f-a556-190b-a5f2-5191f686b379,2023-08-24T17:36:56.2,timeOut,,2,,39de969f-a556-190b-a5f2-5191f686b379,219,team,,2023-08-24T17:36:56.2
clock,PT6M56S,,9cb418f4-061f-196b-8454-bf7b6ba41d0d,2023-08-24T17:36:56.3,main,,2,,,220,start,,2023-08-24T17:36:56.3
sport,PT7M14S,fea93a14-3952-11ef-a7e0-af5c55c3771d,ae57bf41-99f3-12b2-a7ea-43280ee554d6,2023-08-24T17:37:14.1,goal,"{'emptyNet': False, 'goalKeeperId': 'e834a72e-3954-11ef-8893-0119270b4993', 'location': 'CENTRE'}",2,f9821870-3955-11ef-8ff7-e79bf7b1fa4b,ae57bf41-99f3-12b2-a7ea-43280ee554d6,221,nineMetre,True,2023-08-24T17:37:14.1
sport,PT7M19S,fe8d1885-3952-11ef-9130-af5c55c3771d,edef7965-7542-11a4-9be3-9766ab8a47b8,2023-08-24T17:37:19.1,goal,"{'emptyNet': False, 'failureReason': 'SAVE', 'goalKeeperId': '44b187b6-3953-11ef-9e2b-855e48b08f9c', 'location': 'CENTRE'}",2,0e7ef9b9-3956-11ef-82c8-63392ed267d4,edef7965-7542-11a4-9be3-9766ab8a47b8,222,nineMetre,False,2023-08-24T17:37:19.1
clock,PT7M25S,,69b700d6-e5c7-1231-a5bf-9c56762aedf5,2023-08-24T17:37:25.1,main,,2,,,223,stop,,2023-08-24T17:37:25.1
sport,PT7M25S,fea93a14-3952-11ef-a7e0-af5c55c3771d,591b7168-e7fe-1585-822c-68d8b17f37c4,2023-08-24T17:37:25.2,goalKeeperChange,{'emptyNet': True},2,,591b7168-e7fe-1585-822c-68d8b17f37c4,224,,,2023-08-24T17:37:25.2
clock,PT7M25S,,6ac291ac-34d9-13fd-97b4-f999bc159122,2023-08-24T17:37:25.3,main,,2,,,225,start,,2023-08-24T17:37:25.3
sport,PT7M54S,fea93a14-3952-11ef-a7e0-af5c55c3771d,a736626c-8957-1f73-8959-82615e64eddb,2023-08-24T17:37:54.1,goalKeeperChange,{'emptyNet': False},2,44b187b6-3953-11ef-9e2b-855e48b08f9c,a736626c-8957-1f73-8959-82615e64eddb,226,,,2023-08-24T17:37:54.1
sport,PT7M57S,fea93a14-3952-11ef-a7e0-af5c55c3771d,20269c97-f606-153b-9904-852cfeabac54,2023-08-24T17:37:57.1,goal,"{'emptyNet': False, 'failureReason': 'SAVE', 'goalKeeperId': 'e834a72e-3954-11ef-8893-0119270b4993', 'location': 'CENTRE'}",2,f2fc1b0a-3954-11ef-ae4a-4143a9146400,20269c97-f606-153b-9904-852cfeabac54,227,nineMetre,False,2023-08-24T17:37:57.1
sport,PT7M57S,fea93a14-3952-11ef-a7e0-af5c55c3771d,c72397c3-3de2-1bf3-80a1-622841d69a60,2023-08-24T17:37:57.2,goal,"{'attackType': 'PIVOT', 'emptyNet': False, 'goalKeeperId': 'e834a72e-3954-11ef-8893-0119270b4993', 'location': 'CENTRE'}",2,f24b6a05-3954-11ef-a821-4143a9146400,20269c97-f606-153b-9904-852cfeabac54,228,sixMetre,True,2023-08-24T17:37:57.2
sport,PT8M17S,fea93a14-3952-11ef-a7e0-af5c55c3771d,d77735fe-581f-1e24-8aa8-41947e8c99c4,2023-08-24T17:38:17.1,goalKeeperChange,{'emptyNet': False},2,0f46dff5-3956-11ef-bcc8-63392ed267d4,d77735fe-581f-1e24-8aa8-41947e8c99c4,229,,,2023-08-24T17:38:17.1
sport,PT8M25S,fe8d1885-3952-11ef-9130-af5c55c3771d,86c91cdf-b39d-1587-911c-aeb6e1f94c74,2023-08-24T17:38:25.1,goal,"{'failureReason': 'SAVE', 'goalKeeperId': '0f46dff5-3956-11ef-bcc8-63392ed267d4'}",2,50158fe2-3953-11ef-a039-a9530db97767,86c91cdf-b39d-1587-911c-aeb6e1f94c74,230,sevenMetrePenalty,False,2023-08-24T17:38:25.1
clock,PT8M28S,,ae6f58c6-34da-16f7-8a7d-e5d07068cf38,2023-08-24T17:38:28.1,main,,2,,,231,stop,,2023-08-24T17:38:28.1
clock,PT8M28S,,bfbd2942-6db9-1f17-8e0b-d1221d894de2,2023-08-24T17:38:28.2,main,,2,,,232,start,,2023-08-24T17:38:28.2
sport,PT8M40S,fea93a14-3952-11ef-a7e0-af5c55c3771d,e07c6726-63be-1f4f-a1ab-572624203ece,2023-08-24T17:38:40.1,goalKeeperChange,{'emptyNet': False},2,44b187b6-3953-11ef-9e2b-855e48b08f9c,e07c6726-63be-1f4f-a1ab-572624203ece,233,,,2023-08-24T17:38:40.1
sport,PT9M9S,fea93a14-3952-11ef-a7e0-af5c55c3771d,472c864c-3ade-1b24-8634-fe24e84a797c,2023-08-24T17:39:09.1,goal,"{'emptyNet': False, 'goalKeeperId': 'e834a72e-3954-11ef-8893-0119270b4993', 'location': 'LEFT'}",2,f9821870-3955-11ef-8ff7-e79bf7b1fa4b,472c864c-3ade-1b24-8634-fe24e84a797c,234,nineMetre,True,2023-08-24T17:39:09.1
sport,PT9M46S,fe8d1885-3952-11ef-9130-af5c55c3771d,f639d6f4-6401-1a00-a0af-88e185ff61d2,2023-08-24T17:39:46.1,goal,"{'attackType': 'PIVOT', 'emptyNet': False, 'goalKeeperId': '44b187b6-3953-11ef-9e2b-855e48b08f9c', 'location': 'LEFT'}",2,5229986a-3953-11ef-a0a0-a9530db97767,f639d6f4-6401-1a00-a0af-88e185ff61d2,235,sixMetre,True,2023-08-24T17:39:46.1
sport,PT9M46S,fe8d1885-3952-11ef-9130-af5c55c3771d,e87b701d-d8c8-15cf-80eb-0d817a01371b,2023-08-24T17:39:46.2,assist,,2,8a7e323f-3954-11ef-bdc6-a919af319ee5,f639d6f4-6401-1a00-a0af-88e185ff61d2,236,,True,2023-08-24T17:39:46.2
sport,PT10M36S,fea93a14-3952-11ef-a7e0-af5c55c3771d,864a971f-cc6b-1a74-9ab4-dd54b495044f,2023-08-24T17:40:36.1,goal,"{'attackType': 'BREAK_THROUGH', 'emptyNet': False, 'failureReason': 'SAVE', 'goalKeeperId': 'e834a72e-3954-11ef-8893-0119270b4993', 'location': 'CENTRE'}",2,475802bc-3953-11ef-b101-855e48b08f9c,864a971f-cc6b-1a74-9ab4-dd54b495044f,237,sixMetre,False,2023-08-24T17:40:36.1
sport,PT10M56S,fe8d1885-3952-11ef-9130-af5c55c3771d,d894d377-87e6-1eb5-a086-107c6f034c11,2023-08-24T17:40:56.1,goal,"{'emptyNet': False, 'goalKeeperId': '44b187b6-3953-11ef-9e2b-855e48b08f9c', 'location': 'LEFT'}",2,458c7c77-3953-11ef-b1d0-855e48b08f9c,d894d377-87e6-1eb5-a086-107c6f034c11,238,wing,True,2023-08-24T17:40:56.1
sport,PT10M56S,fe8d1885-3952-11ef-9130-af5c55c3771d,5b91da02-a68c-1263-8cbc-6bd1425356c4,2023-08-24T17:40:56.2,assist,,2,455ee77d-3953-11ef-ab3e-855e48b08f9c,d894d377-87e6-1eb5-a086-107c6f034c11,239,,True,2023-08-24T17:40:56.2
clock,PT11M6S,,01e965b9-385b-121e-8546-40a20f838f48,2023-08-24T17:41:06.1,main,,2,,,240,stop,,2023-08-24T17:41:06.1
clock,PT11M6S,,1947e53b-36c5-14d3-a07b-ba6013f5b351,2023-08-24T17:41:06.2,main,,2,,,241,start,,2023-08-24T17:41:06.2
clock,PT11M16S,,2c931e38-4b62-14ea-80fa-d79b6a7cc60c,2023-08-24T17:41:16.1,main,,2,,,242,stop,,2023-08-24T17:41:16.1
clock,PT11M16S,,5452fe42-5b23-1b73-9de1-d61a1facff10,2023-08-24T17:41:16.2,main,,2,,,243,start,,2023-08-24T17:41:16.2
clock,PT11M30S,,21471e47-acaf-1c3e-807c-1c32e654bb11,2023-08-24T17:41:30.1,main,,2,,,244,stop,,2023-08-24T17:41:30.1
clock,PT11M30S,,aea48dea-f8e5-1452-90d2-5d101d0b6175,2023-08-24T17:41:30.2,main,,2,,,245,start,,2023-08-24T17:41:30.2
sport,PT11M30S,fe8d1885-3952-11ef-9130-af5c55c3771d,488580d6-a5da-133f-a801-3133de8128fb,2023-08-24T17:41:30.3,suspension,,2,455ee77d-3953-11ef-ab3e-855e48b08f9c,488580d6-a5da-133f-a801-3133de8128fb,246,twoMinutes,,2023-08-24T17:41:30.3
clock,PT11M30S,,75b8a6f7-3322-12a8-9477-490ae0ecf023,2023-08-24T17:41:30.4,main,,2,,,247,start,,2023-08-24T17:41:30.4
sport,PT11M50S,fea93a14-3952-11ef-a7e0-af5c55c3771d,c305c0b2-06d0-19ba-ae2a-3e5a6e695285,2023-08-24T17:41:50.1,technicalFault,,2,475802bc-3953-11ef-b101-855e48b08f9c,c305c0b2-06d0-19ba-ae2a-3e5a6e695285,248,ballFault,,2023-08-24T17:41:50.1
sport,PT12M1S,fe8d1885-3952-11ef-9130-af5c55c3771d,35f25b5f-ca7d-1f40-8a26-ccd21ec9d540,2023-08-24T17:42:01.1,goalKeeperChange,{'emptyNet': True},2,,35f25b5f-ca7d-1f40-8a26-ccd21ec9d540,249,,,2023-08-24T17:42:01.1
clock,PT12M5S,,4e0ba4ed-cb11-1b58-819d-a2eeb3a27436,2023-08-24T17:42:05.1,main,,2,,,250,stop,,2023-08-24T17:42:05.1
